ID,이디야 매장수,스타벅스 매장수,커피빈 매장수,빽다방 매장수,커피지수
창원 의창,10,4.0,1.0,2.0,0.4166666666666667
창원 진해,5,2.0,2.0,0.0,0.8
천안 동남,8,7.0,1.0,3.0,0.7272727272727273
천안 서북,7,7.0,0.0,5.0,0.5833333333333334
철원,2,0.0,0.0,0.0,0.0
청도,2,1.0,0.0,0.0,0.5
청송,1,0.0,0.0,0.0,0.0
청주 상당,6,6.0,1.0,2.0,0.875
청주 서원,5,3.0,0.0,3.0,0.375
청주 청원,8,3.0,0.0,1.0,0.3333333333333333
청주 흥덕,12,8.0,1.0,2.0,0.6428571428571429
춘천,23,8.0,1.0,4.0,0.3333333333333333
충주,4,5.0,0.0,1.0,1.0
칠곡,4,1.0,0.0,0.0,0.25
태안,2,0.0,0.0,0.0,0.0
통영,3,2.0,1.0,3.0,0.5
파주,20,4.0,1.0,6.0,0.19230769230769232
평창,1,2.0,0.0,0.0,2.0
평택,10,7.0,1.0,4.0,0.5714285714285714
포천,10,5.0,0.0,1.0,0.45454545454545453
포항 남구,4,8.0,0.0,0.0,2.0
포항 북구,9,5.0,1.0,2.0,0.5454545454545454
하남,11,5.0,1.0,1.0,0.5
함안,1,0.0,2.0,0.0,2.0
함양,1,1.0,0.0,0.0,1.0
합천,1,0.0,0.0,0.0,0.0
해남,1,0.0,1.0,0.0,1.0
홍성,3,0.0,0.0,2.0,0.0
홍천,3,1.0,0.0,1.0,0.25
화성,23,12.0,5.0,12.0,0.4857142857142857
화순,1,0.0,0.0,0.0,0.0
화천,2,0.0,0.0,0.0,0.0
